"コード","銘柄名","市場","現在値","前日比(%)","PSR(株価売上高倍率)(倍)","PBR(株価純資産倍率)(倍)","時価総額(百万円)","売上高変化率(%)","自己資本比率(%)","株価移動平均線乖離率(%)"
"3802","エコミック","東S","508","+6.0(+1.20%)","0.86","1.49","1,946","26.22","75.63","-1.17"
"3824","メディアファイブ","福Q","595","+10.0(+1.71%)","0.31","1.57","587","-2.87","49.95","-0.03"
"3839","ＯＤＫソリューションズ","東S","599","+3.0(+0.50%)","0.87","0.84","4,912","1.19","67.90","-0.33"
"3907","シリコンスタジオ","東G","995","-19.0(-1.87%)","0.64","1.63","2,959","0.98","55.65","-1.05"
"3910","エムケイシステム","東S","349","+1.0(+0.29%)","0.66","1.25","1,894","4.54","59.34","-1.08"
"3917","アイリッジ","東G","525","+0.0(+0.00%)","0.69","1.14","3,762","-0.09","57.85","-2.38"
"3930","はてな","東G","740","-3.0(-0.40%)","0.70","0.88","2,269","2.84","86.35","-1.15"
"3931","バリューゴルフ","東G","1024","+16.0(+1.59%)","0.41","1.57","1,850","3.75","46.76","-0.33"
"3944","古林紙工","東S","2120","+33.0(+1.58%)","0.13","0.27","3,767","5.00","45.60","-9.35"
"3945","スーパーバッグ","東S","2639","-131.0(-4.73%)","0.17","1.36","4,450","0.47","21.03","-1.24"
"3948","光ビジネスフォーム","東S","898","-25.0(-2.71%)","0.44","0.58","5,222","25.40","75.06","-2.45"
"3953","大村紙業","東S","854","-2.0(-0.23%)","0.56","0.63","3,042","8.91","66.70","-0.47"
"3970","イノベーション","東G","1210","+2.0(+0.17%)","0.66","0.95","3,163","4.35","83.13","-1.47"
"3974","ＳＣＡＴ","東S","493","-2.0(-0.40%)","0.50","0.74","2,583","5.98","61.96","-1.08"
"3988","ＳＹＳ　ＨＬＤＧ","東S","976","+15.0(+1.56%)","0.48","1.75","5,132","38.84","46.16","-1.95"
"4068","ベイシス","東G","1320","-18.0(-1.35%)","0.36","1.25","2,458","9.56","54.97","-0.74"
"4098","チタン工業","東S","1118","+2.0(+0.18%)","0.41","0.50","3,385","-0.97","39.85","-0.46"
"4102","丸尾カルシウム","東S","1480","-20.0(-1.33%)","0.27","0.36","3,486","8.88","54.46","-2.37"
"4120","スガイ化学工業","東S","2523","+1.0(+0.04%)","0.47","0.49","3,464","13.26","59.54","-0.23"
"4222","児玉化学工業","東S","266","-2.0(-0.75%)","0.14","1.09","2,091","3.39","29.21","-1.70"
"4234","サンエー化研","東S","544","+3.0(+0.55%)","0.21","0.30","6,158","-2.80","54.84","-0.26"
"4242","タカギセイコー","東S","2183","-60.0(-2.67%)","0.13","0.55","6,161","1.75","27.82","-2.30"
"4243","ニックス","東S","806","+9.0(+1.13%)","0.41","0.45","1,872","1.16","72.16","-5.00"
"4255","ＴＨＥＣＯＯ","東G","496","-5.0(-1.00%)","0.24","0.87","1,030","22.91","39.51","-1.16"
"4317","レイ","東S","439","-1.0(-0.23%)","0.51","1.04","6,290","12.65","63.08","-0.81"
"4341","西菱電機","東S","824","+4.0(+0.49%)","0.17","0.56","2,884","-1.15","48.38","-0.56"
"4386","ＳＩＧグループ","東S","506","-12.0(-2.32%)","0.54","1.51","3,001","10.21","44.35","-2.24"
"4430","東海ソフト","東S","1160","+5.0(+0.43%)","0.71","1.18","5,708","5.68","60.31","-0.12"
"4450","パワーソリューションズ","東G","2655","-80.0(-2.93%)","0.73","1.64","3,805","39.78","66.92","-2.05"
"4539","日本ケミファ","東S","1609","-2.0(-0.12%)","0.18","0.31","6,857","-2.91","38.12","-0.16"
"4558","中京医薬品","東S","206","-1.0(-0.48%)","0.39","0.85","2,402","6.28","49.27","-1.44"
"4615","神東塗料","東S","126","-1.0(-0.79%)","0.21","0.29","3,906","-0.51","39.87","-0.63"
"4625","アトミクス","東S","705","-5.0(-0.70%)","0.33","0.38","5,106","2.98","69.38","-0.06"
"4629","大伸化学","東S","1458","+38.0(+2.68%)","0.19","0.43","6,695","9.87","63.30","-1.19"
"4657","環境管理センター","東S","540","-10.0(-1.82%)","0.49","1.18","2,550","12.54","40.68","-2.24"
"4664","アール・エス・シー","東S","695","+4.0(+0.58%)","0.33","1.06","2,043","4.96","44.67","-3.23"
"4673","川崎地質","東S","2660","-36.0(-1.34%)","0.25","0.55","2,814","-1.67","44.54","-0.72"
"4690","日本パレットプール","東S","2386","+6.0(+0.25%)","0.54","0.69","4,056","4.22","48.22","-1.36"
"4750","ダイサン","東S","578","-4.0(-0.69%)","0.36","0.69","4,403","8.37","53.27","-0.72"
"4754","トスネット","東S","1221","+0.0(+0.00%)","0.53","0.80","5,779","9.04","68.27","-0.36"
"4769","ＩＣ","東S","891","-23.0(-2.52%)","0.81","1.12","6,889","0.86","73.91","-2.88"
"4814","ネクストウェア","東S","173","+1.0(+0.58%)","0.76","1.45","2,252","-0.97","82.43","-5.88"
"4834","キャリアバンク","札","1170","-7.0(-0.59%)","0.15","0.98","1,162","7.67","28.45","-0.29"
"4885","室町ケミカル","東S","701","-8.0(-1.13%)","0.44","1.44","2,871","10.74","38.70","-0.82"
"4935","リベルタ","東S","719","+8.0(+1.13%)","0.32","1.36","2,148","31.98","29.57","-1.48"
"4960","ケミプロ化成","東S","370","-3.0(-0.80%)","0.62","1.30","6,151","0.17","33.34","-1.96"
"5189","櫻護謨","東S","2458","+114.0(+4.86%)","0.42","0.61","4,975","20.52","47.56","-1.43"
"5199","不二ラテックス","東S","1920","-25.0(-1.29%)","0.31","0.68","2,470","-0.76","31.16","-0.48"
"5287","イトーヨーギョー","東S","575","-14.0(-2.38%)","0.50","0.51","2,052","18.17","56.27","-1.98"
"5341","ＡＳＡＨＩ　ＥＩＴＯＨＬＤＧ","東S","425","-3.0(-0.70%)","0.55","1.69","1,919","54.09","35.05","-0.70"
"5355","日本坩堝","東S","569","+1.0(+0.18%)","0.43","0.74","4,009","1.92","48.21","-0.25"
"5395","理研コランダム","東S","2760","-14.0(-0.50%)","0.64","0.53","2,545","3.75","72.15","-0.14"
"5446","北越メタル","東S","1518","-6.0(-0.39%)","0.19","0.36","6,063","13.47","58.71","-0.52"
"5491","日本金属","東S","872","-6.0(-0.68%)","0.11","0.24","5,842","7.02","33.10","-0.62"
"5579","ＧＳＩ","札","1245","-13.0(-1.03%)","0.69","1.65","2,490","8.10","61.17","-1.00"
"5603","虹技","東S","1500","+10.0(+0.67%)","0.18","0.42","5,043","15.61","36.41","-0.05"
"5612","日本鋳鉄管","東S","1151","-10.0(-0.86%)","0.22","0.44","3,790","13.85","45.46","-1.49"
