,順位,コード,名称,市場,時価総額,上場年月日,取引値,決算年月
68,69,7075,(株)ＱＬＳホールディングス,名証NXT,2020,2023-06-26,912.0,2023/03
69,70,9225,ブリッジコンサルティンググループ(株),東証GRT,3365,2023-06-26,1652.0,2023/09
70,71,5578,ＡＲアドバンストテクノロジ(株),東証GRT,7930,2023-06-23,2400.0,2023/08
71,72,5532,(株)リアルゲイト,東証GRT,4510,2023-06-22,1610.0,2023/09
72,73,5577,(株)アイデミー,東証GRT,7414,2023-06-22,1866.0,2023/05
73,74,5576,(株)オービーシステム,東証STD,6157,2023-06-21,2601.0,2023/03
74,75,9158,(株)シーユーシー,東証GRT,80584,2023-06-21,2687.0,2023/03
75,76,5575,(株)Ｇｌｏｂｅｅ,東証GRT,6222,2023-06-14,1245.0,2023/05
76,77,5574,(株)ＡＢＥＪＡ,東証GRT,39919,2023-06-13,4510.0,2023/08
77,78,5572,(株)Ｒｉｄｇｅ－ｉ,東証GRT,10434,2023-04-26,2750.0,2023/07
78,79,7330,レオス・キャピタルワークス(株),東証GRT,16078,2023-04-25,1248.0,2023/03
79,80,5838,楽天銀行(株),東証PRM,403054,2023-04-21,2310.0,2023/03
80,81,4040,南海化学(株),東証STD,10953,2023-04-20,4700.0,2023/03
81,82,5571,エキサイトホールディングス(株),東証STD,4332,2023-04-19,878.0,2023/03
82,83,5570,(株)ジェノバ,東証GRT,12636,2023-04-18,876.0,2023/09
83,84,5530,日本システムバンク(株),名証MN,1784,2023-04-14,1558.0,2023/06
84,85,9348,(株)ｉｓｐａｃｅ,東証GRT,81117,2023-04-12,986.0,2023/03
85,86,5258,(株)トランザクション・メディア・ネットワークス,東証GRT,25630,2023-04-04,694.0,2023/03
86,87,5259,ＢＢＤイニシアティブ(株),東証GRT,3007,2023-04-03,570.0,2023/09
87,88,9347,日本管財ホールディングス(株),東証PRM,105916,2023-04-03,2572.0,---
88,89,5256,(株)Ｆｕｓｉｃ,東証GRT,4650,2023-03-31,3710.0,2023/06
89,90,6225,(株)エコム,名証MN,2307,2023-03-31,1094.0,2023/07
90,91,9346,(株)ココルポート,東証GRT,8579,2023-03-31,2373.0,2023/06
91,92,5257,ノバシステム(株),東証STD,3421,2023-03-30,2439.0,2022/12
92,93,9345,ビズメイツ(株),東証GRT,2220,2023-03-30,1404.0,2022/12
93,94,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ(株),東証GRT,55699,2023-03-29,955.0,2022/12
94,95,7163,住信ＳＢＩネット銀行(株),東証STD,250619,2023-03-29,1662.0,2023/03
95,96,5254,(株)Ａｒｅｎｔ,東証GRT,32792,2023-03-28,5290.0,2023/06
96,97,5255,(株)モンスターラボホールディングス,東証GRT,10813,2023-03-28,315.0,2022/12
97,98,9344,アクシスコンサルティング(株),東証GRT,6135,2023-03-28,1230.0,2023/06
98,99,5253,カバー(株),東証GRT,155194,2023-03-27,2539.0,2023/03
99,100,5252,日本ナレッジ(株),東証GRT,2119,2023-03-23,1540.0,2023/03
